LSTM,BJGB,lstm,hezj
-0.01447,-0.00151,-0.008251826,0.0122
-0.00534,-0.01153,0.002541689,-0.00643
-0.00731,-0.00381,-0.002281661,0.00889
-0.011,-0.0024,0.004013823,0.00288
-0.00676,0.00499,-9.32E-05,0.00694
-0.00655,0.00592,0.006675174,0.0085
-0.01025,0.00312,0.002323695,0.00582
0.00125,-0.00452,0.009712047,0.00565
0.00334,-0.00926,0.00138586,-0.00188
-0.00626,-0.02143,-0.000360855,0.0111
-0.01098,-0.00872,0.00482939,0.00269
-0.00265,-0.02212,0.002856843,0.01206
-0.01418,-0.01638,0.003958296,0.00316
-0.01268,-0.00831,0.003065128,0.00574
-0.00862,-0.02555,0.002723763,0.00509
-0.01242,-0.00673,0.001738113,0.0118
-0.01403,-0.00752,0.004256174,0.00302
-0.01675,-0.00996,0.004431832,0.00045
-0.01023,-0.01325,0.000988746,-0.00665
-0.00931,-0.01275,0.002755739,-0.00851
-0.01718,-0.0233,-0.004992475,0.00344
-0.01283,-0.01917,0.002665743,-0.0018
-0.01402,-0.0155,-0.003722031,-0.0029
-0.01217,-0.0153,-0.00097012,-0.01157
-0.0176,-0.01169,-0.003245542,0.00797
-0.01285,-0.0007,-0.004877755,0.00498
-0.01335,-0.018,-9.22E-05,0.00426
-0.00788,-0.02,0.006172857,0.0039
-0.00262,-0.01001,0.000486763,0.0119
-0.01704,0.00342,0.001357643,0.00217
-0.01333,-0.01693,0.002971263,-0.00395
-0.025,-0.00812,0.003074199,0.00412
-0.01092,-0.00572,-0.00090102,-0.00074
-0.0081,-0.00163,-0.000868664,0.00085
-0.00736,-0.01395,0.002090862,-0.00611
-0.0071,-0.00895,-0.001931512,0.00036
-0.00958,-0.00895,-0.003279639,0.00141
-0.00879,-0.00895,-0.000681472,0.00494
-0.00757,-0.02472,0.003377595,0.00684
-0.00784,-0.02274,-4.68E-05,0.0097
-0.01519,0.00758,0.003467426,0.00097
-0.01459,-0.01754,0.003612528,0.00609
-0.02154,-0.02462,0.000277952,-0.00797
-0.01017,0.00276,0.00018512,-0.00353
-0.0241,-0.01892,-0.005037186,-0.00404
-0.00394,-0.01013,-0.001251032,-0.00036
0.00198,-0.01072,-0.002378972,-0.00175
-0.03356,-0.00814,-0.00044224,-0.00378
-0.00829,-0.00283,-0.002652072,-0.00124
-0.01915,-0.01806,-0.001512087,-0.0016
-0.01049,-0.01217,-0.000859482,0.00171
-0.02067,-0.01428,-0.001483474,-0.00097
-0.01139,-0.01764,-0.000230963,0.0033
-0.01302,-0.01828,-0.001793783,-0.00305
-0.01286,-0.02125,4.82E-06,-0.00019
-0.01303,-0.01197,-0.001526346,-0.00789
-0.01631,-0.00718,-0.00183693,0.00065
-0.01287,-0.00753,-0.003737946,-0.00102
-0.01052,-0.01176,-0.001833697,-0.00375
-0.01266,-0.01034,-0.000463088,-0.00654
-0.01212,-0.01455,-0.001863247,-0.00661
-0.01121,-0.01485,-0.003884464,-0.00413
-0.01141,-0.01304,-0.004210017,0.00287
-0.01033,-0.00948,-0.003395108,-0.00922
-0.01005,-0.00468,-0.003036868,-0.01594
-0.01031,-0.00619,-0.004237425,-0.00645
-0.00646,-0.02143,-0.005718985,-0.01461
-0.00645,-0.00455,-0.007904363,-0.01195
-0.01599,-0.01139,-0.009335636,-0.01464
-0.00999,-0.00749,-0.010823004,-0.00508
-0.01035,-0.00689,-0.012346539,-0.00429
-0.01122,-0.0074,-0.005411211,-0.01112
-0.00561,-0.01087,-0.005470146,-0.01489
-0.00539,-0.01114,-0.010542554,-0.00934
-0.0096,-0.00477,-0.009585113,-0.01136
-0.01158,-0.0176,-0.013080419,-0.01173
-0.00707,-0.00812,-0.008869908,-0.00499
-0.01226,-0.00893,-0.009970472,-0.00856
-0.00806,-0.00892,-0.006947938,-0.01406
-0.00695,-0.00609,-0.006037032,-0.01072
-0.00672,0.00694,-0.009622591,-0.01616
-0.00782,-0.01298,-0.012544633,-0.00562
-0.00621,-0.01147,-0.012581708,-0.00929
-0.00678,-0.01439,-0.010026228,-0.01127
-0.01354,-0.01534,-0.009006783,-0.01136
-0.0138,-0.00862,-0.007765291,-0.01492
-0.01272,-0.0089,-0.010051439,-0.01498
-0.00882,-0.00671,-0.015139944,-0.01574
-0.00932,-0.00528,-0.010641784,-0.01985
-0.004,-0.0042,-0.013788554,-0.01578
-0.00689,-0.00395,-0.014326293,-0.01335
-0.00606,-0.00179,-0.012756442,-0.01202
-0.00684,0.00008,-0.016361438,-0.0138
-0.00591,-0.0034,-0.013671897,-0.01438
-0.00464,-0.00515,-0.014671355,-0.01365
-0.00471,-0.00891,-0.014158988,-0.01067
-0.00563,-0.01071,-0.013353102,-0.01386
-0.00762,-0.00966,-0.01234371,-0.00754
-0.00806,-0.00616,-0.00988856,-0.00515
-0.00807,0.00614,-0.01008074,-0.00513
-0.00768,0.00641,-0.007550359,-0.00761
-0.00765,-0.00411,-0.007123308,-0.00932
0.00294,-0.00739,-0.007382822,-0.00846
-0.00323,-0.00648,-0.008379213,-0.0096
-0.01244,-0.00576,-0.007657102,-0.00795
-0.01064,-0.00794,-0.007980011,-0.00676
-0.00669,-0.00385,-0.00695273,-0.01008
-0.00911,-0.0057,-0.006592797,-0.01064
-0.00955,-0.00745,-0.00718084,-0.01441
-0.00063,-0.00946,-0.00851894,-0.01355
-0.00523,-0.02462,-0.011041921,-0.00822
-0.00983,-0.01306,-0.010823321,-0.01493
-0.01755,-0.00629,-0.010342461,-0.00657
-0.01081,-0.0061,-0.010786701,-0.00863
-0.01015,-0.00571,-0.009816176,-0.00725
-0.00997,-0.0115,-0.008807585,-0.0078
-0.0081,-0.01153,-0.007799685,-0.0038
-0.00924,-0.00426,-0.008390334,-0.00483
-0.00986,-0.00349,-0.005210583,-0.00202
-0.01102,-0.00765,-0.004621007,-0.00305
-0.00634,-0.00999,-0.006021202,-0.00193
-0.00839,-0.00625,-0.001894707,-0.00482
-0.00858,0.00107,-0.00453888,-0.00419
-0.00662,-0.01394,-0.003833905,-0.00787
-0.00599,-0.02315,-0.004460803,-0.01492
-0.0095,-0.01502,-0.005129976,-0.01153
-0.01449,-0.0181,-0.006822895,-0.0034
-0.01346,-0.01837,-0.008007433,-0.00313
-0.01469,-0.01056,-0.006109348,-0.00312
-0.01402,-0.00273,-0.005503995,0.00253
-0.00904,-0.00169,-0.006529047,-0.00179
-0.00593,-0.0074,-0.000967353,-0.01401
-0.00819,-0.01282,-0.002546335,-0.00871
-0.01452,-0.01095,-0.007225618,-0.00311
-0.01043,-0.00711,-0.006560068,-0.01277
-0.01736,-0.01056,-0.006222538,-0.00781
-0.00913,-0.01044,-0.006254537,-0.00772
-0.00841,-0.00724,-0.008780334,-0.00283
-0.00929,-0.00014,-0.005401369,0.00046
-0.00529,-0.00942,-0.002958279,-0.00202
-0.00356,-0.01221,-0.005791001,-0.00376
-0.00867,-0.01105,0.000434655,-0.00686
-0.01033,-0.01062,-0.004806216,-0.01124
-0.01144,-0.01681,-0.007043055,-0.00769
-0.00972,-0.01104,-0.007473155,-0.00231
-0.01158,-0.00762,-0.006334266,-0.00162
-0.00892,-0.00964,-0.00497533,-0.00606
-0.00669,-0.00748,-0.003285675,-0.00863
-0.00688,-0.01359,-0.004902655,-0.01355
-0.01,-0.01068,-0.00696496,-0.01376
-0.01215,-0.00966,-0.009092935,-0.01178
-0.01058,-0.00631,-0.009560776,-0.01239
-0.01024,-0.01444,-0.010772616,-0.01318
-0.00852,-0.00269,-0.009278682,-0.01374
-0.01085,-0.01145,-0.009292201,-0.01034
-0.00656,-0.00866,-0.011697548,-0.01162
-0.00906,-0.01076,-0.011737174,-0.00929
-0.00859,-0.00575,-0.011684472,-0.0093
-0.01023,-0.0051,-0.010228167,-0.00122
-0.00845,-0.00917,-0.00923597,-0.00331
-0.00478,-0.00755,-0.006714949,-0.00936
-0.0078,-0.00759,-0.004331294,-0.00217
-0.00667,-0.00534,-0.006952384,0.00095
-0.00718,-0.0051,-0.005420543,0.00184
-0.00612,-0.00749,-0.003028666,0.00343
-0.00591,-0.00861,-0.002234732,0.0019
,,-0.001958075,0.00108
,,0.000595763,-0.00193
,,-0.002116948,-0.00341
,,-0.002206567,-0.00151
,,-0.003157246,0
,,-0.002317858,-0.0081
,,-0.001037785,-0.00684
,,-0.003478866,-0.00238
,,-0.0033736,-0.00917
,,-0.002674058,-0.01066
,,-0.004431176,-0.01209
,,-0.006981464,-0.00883
,,-0.008835669,-0.00193
,,-0.006190476,-0.00912
,,-0.006945077,-0.01097
,,-0.007016155,-0.00821
,,-0.007681248,-0.00892
,,-0.009186256,-0.00788
,,-0.008744183,-0.00306
,,-0.007839561,-0.01172
,,-0.005525213,-0.00562
,,-0.006659078,-0.00556
,,-0.007001604,-0.00802
,,-0.006286992,-0.00562
,,-0.006321007,-0.00962
,,-0.006898987,-0.00487
,,-0.007503466,-0.01222
,,-0.005497292,-0.0072
,,-0.007522616,-0.00862
,,-0.006739588,-0.00771
,,-0.006317051,-0.00188
,,-0.00717541,-0.00781
,,-0.005179748,-0.0063
,,-0.006206379,-0.00703
,,-0.005527048,-0.00734
,,-0.007748717,-0.00512
,,-0.006217574,-0.01225
,,-0.006045319,-0.01227
,,-0.007875627,-0.01629
,,-0.00788313,-0.00991
,,-0.009093518,-0.01401
,,-0.011343303,-0.01295
,,-0.010410373,-0.01332
,,-0.011318971,-0.00992
,,-0.011322989,-0.01462
,,-0.012144523,-0.0115
,,-0.01112913,-0.01052
,,-0.012373838,-0.01572
,,-0.009432104,-0.01856
,,-0.011822044,-0.00881
,,-0.013421632,-0.01087
,,-0.013893326,-0.01033
,,-0.009649762,-0.0103
,,-0.012105891,-0.00738
,,-0.010410348,-0.00595
,,-0.009155661,-0.00956
,,-0.007549979,-0.01003
,,-0.007274306,-0.00845
,,-0.006709655,-0.01165
,,-0.008874933,-0.00977
,,-0.008764759,-0.0096
,,-0.008916334,-0.0123
,,-0.00864325,-0.00713
,,-0.00877385,-0.00445
,,-0.009229103,-0.01097
,,-0.00669106,-0.01362
,,-0.007702257,-0.00895
,,-0.010411544,-0.01305
,,-0.010678039,-0.01169
,,-0.009299484,-0.00543
,,-0.010441739,-0.00334
,,-0.008297611,0.00168
,,-0.004489476,-0.00272
,,-0.005646687,-0.00044
,,-0.003337327,-0.00386
,,-0.002724054,-0.00703
,,-0.005022086,-0.00829
,,-0.00466103,-0.00519
,,-0.005661534,-0.00575
,,-0.004616329,-0.00116
,,-0.004469643,-0.00437
,,-0.003614676,-0.00414
,,-0.003050044,-0.00187
,,-0.003960912,-0.00087
,,-0.003216672,-0.00214
,,-0.002580679,-0.00575
,,-0.002758252,0.00343
,,-0.004338147,0.00514
,,-0.000988843,0.00314
,,0.001707783,0.00274
,,6.46E-05,-0.00024
,,-0.000415657,-0.0015
,,-0.002230065,0.00156
,,-0.001701587,0.00357
,,-0.000959677,0.00001
,,0.000219935,0.00422
,,-0.000337152,0.00095
,,0.00091122,0.00015
,,0.000735288,-0.00869
,,-0.000576416,-0.00704
,,-0.003735513,-0.003
,,-0.004558442,-0.00485
,,-0.002317918,0.00029
,,-0.003046963,-0.00634
,,-0.003828307,-0.00061
,,-0.002986405,-0.0001
,,-0.002006029,-0.00195
,,-0.001320907,0.00271
,,-0.001990673,-0.00359
,,-0.001694265,-0.00257
,,-0.002539447,-0.00423
,,-0.002901639,-0.01336
,,-0.002889644,0.00259
,,-0.008070973,0.00517
,,-0.003492246,-0.0033
,,0.00256423,-0.00407
,,-0.003057875,-0.00291
,,-0.005808427,-0.0036
,,-0.006169378,-0.00361
,,-0.002229892,0.00024
,,-0.004161087,-0.00644
,,-8.20E-05,-0.0095
,,-0.001859027,-0.00921
,,-0.003731287,-0.01026
,,-0.007812148,-0.01033
,,-0.007184364,-0.00557
,,-0.007330345,0.00385
,,-0.007499854,-0.00619
,,-0.001188551,0.00283
,,-0.004026348,-0.00989
,,-0.002992464,-0.00225
,,-0.006188318,-0.00139
,,-0.004168822,0.01438
,,-0.001329965,0.01108
,,0.005474478,0.01168
,,0.006039376,-0.00962
,,0.002317232,-0.01219
,,-0.00792517,-0.00852
,,-0.006762756,-0.00793
,,-0.00786989,-0.00482
,,-0.005657278,-0.00893
,,-0.012430412,0.00111
,,0.000984242,-0.00747
,,-0.000805515,0.00136
,,-0.003435611,0.0052
,,-0.002293897,0.00764
,,0.001937793,0.01286
,,0.001824458,0.02241
,,0.002575131,0.0095
,,0.009822325,-0.0085
,,0.001103787,-0.00821
,,-0.006366481,-0.00999
,,-0.010168832,-0.01102
,,-0.006868547,-0.00963
,,-0.007541005,-0.00639
,,-0.00864338,-0.00733
,,-0.001969612,0.00525
,,0.000540718,-0.01321
,,-0.007656862,-0.00031
,,-0.005980957,0.0113
,,-0.004235976,-0.00716
,,0.004326367,0.00381
,,-0.004524208,-0.01956
,,-0.005357201,-0.01233
,,-0.0156028,0.00614
,,-0.007282272,0.00159
,,-0.004647718,-0.0055
,,0.001300622,-0.0035
,,-0.008110324,-0.01899
,,-0.00972306,-0.00937
,,-0.016056955,-0.00971
,,-0.001629432,-0.01513
,,-0.011657905,-0.00172
,,-0.008043537,-0.0039
,,-0.007493299,0.0009
,,-0.004867793,0.00104
,,-0.002440703,-0.01164
,,-0.007410929,-0.00471
,,-0.005399904,-0.00191
,,-0.006557598,-0.01162
,,-0.00571802,-0.01304
,,-0.007563168,-0.0077
,,-0.005930703,0.00797
,,-0.008032799,-0.00321
,,-0.000386915,-0.00993
,,-0.004067688,-0.00857
,,-0.004379748,-0.01529
,,-0.009645341,-0.01523
,,-0.011693641,-0.01498
,,-0.008653987,-0.00823
,,-0.012025139,-0.00473
,,-0.007149781,-0.00596
,,-0.005689187,-0.00867
,,-0.010017659,-0.00681
,,-0.007523623,-0.0132
,,-0.010192506,-0.00475
,,-0.008871884,-0.017
,,-0.006376143,-0.00562
,,-0.009059001,-0.00996
,,-0.00632035,-0.0067
,,-0.006229595,-0.00179
,,-0.007048907,0.00707
,,-0.004812456,-0.01055
,,-0.000403244,0.00398
,,-0.003523572,-0.00438
,,-0.00582972,-0.00691
,,-5.28E-06,-0.00341
,,-0.004445935,-0.00105
,,-0.003885004,-0.01014
,,-0.001191486,-0.00587
,,-0.004382119,-0.00377
,,-0.004339601,-0.00999
,,-0.002911169,0.00032
,,-0.002263316,-0.00265
,,-0.00601932,0.00412
,,-0.001195447,-0.00499
,,-0.001374615,-0.01726
,,-0.003611042,-0.01131
,,-0.01077197,0.00553
,,-0.00669814,-0.01292
,,-0.006346969,-0.00286
,,-0.008199446,0.00101
,,-0.006799371,0.00621
,,0.002310178,0.00169
,,0.000630583,-0.00851
,,-9.19E-05,0.00442
,,0.000503611,-0.01192
,,-0.003882324,0.00671
,,0.000534029,0.00176
,,0.000123589,-0.0043
,,0.002410316,0.00598
,,-0.00119816,-0.0081
,,0.000349132,-0.01138
,,-0.007788614,-0.01799
,,-0.005650332,-0.0089
,,-0.004358392,-0.0128
,,-0.014742698,-0.00606
,,-0.002083228,-0.01571
,,-0.011167683,-0.02163
,,-0.009752446,-0.00193
,,-0.008985088,-0.01112
,,-0.012193382,-0.00361
,,-0.009954615,-0.01394
,,-0.008396381,-0.01235
,,-0.012954262,-0.01834
,,-0.0113518,0.01091
,,-0.005318415,-0.00279
,,-0.003920439,0.00598
,,0.005346243,-0.01458
,,-0.00643538,-0.00852
,,-0.006241157,-0.01787
,,-0.012964241,0.00117
,,0.000709558,0.00553
,,0.000273856,-0.00038
,,0.000723644,0.00151
,,0.003439396,-0.00013
,,0.001585907,0.00811
,,-0.008465619,0.00939
,,0.004381608,0.0028
,,0.001003544,-0.00298
,,0.002726947,0.00409
,,-0.003978078,-0.00606
,,-6.30E-05,-0.0001
,,-0.002543012,0.00229
,,-0.001719384,0.00007
,,-1.38E-05,-0.00363
,,0.001567746,0.00163
,,-0.000868299,-0.0034
,,-0.002134493,-0.00492
,,-0.001549733,-0.00836
,,-0.001613646,-0.01071
,,-0.005803008,0.00285
,,-0.004551596,0.00117
,,-0.002895643,0.00352
,,-0.000748133,0.00574
,,-0.000547797,-0.00269
,,-0.000275884,-0.01571
,,-0.003619838,-0.00368
,,-0.005748857,0.00031
,,-0.006957997,0.0012
,,-0.003840853,-0.01363
,,-0.004292522,-0.00283
,,-0.008247942,-0.00082
,,-0.002946066,-0.00143
,,0.003081833,-0.00012
,,-0.00447627,0.00332
,,-0.001230781,0.00161
,,0.001330772,0.00301
,,0.000591599,0.00009
,,-0.001638954,0.00019
,,0.00099784,0.00285
,,-0.002472883,0.0042
,,-5.30E-05,0.00255
,,0.000961293,-0.00283
,,0.000240013,-0.0023
,,-0.001488643,0.0027
,,-0.002132915,0.00522
,,0.000343999,0.00998
,,0.000999898,0.00327
,,0.002772427,0.00115
,,0.001983461,0.00501
,,-0.001136685,0.00347
,,0.001127433,0.00224
,,0.000233898,0.00626
,,-0.001177087,0.00131
,,0.001793646,-0.00082
,,0.000561333,0.00791
,,0.001019314,0.00457
,,0.002122039,-0.00385
,,0.002512061,-0.00223
,,-0.001396673,0.00204
,,-0.002317704,-0.00204
,,-0.00058655,0.00282
,,5.71E-05,0.0052
