BJFS,BJYQ,BJSH,BJGB,TJBD,TJBH,TJWQ,HEYY,HELQ,HELY,HECC,HEZJ,HECD,HETS,SXLQ,XGB1
0.01014,-0.00945,-0.01009,-0.01711,-0.01074,-0.05598,-0.10443,-0.02332,-0.02097,-0.02615,-0.01425,-0.0054,-0.01293,-0.00945,-0.01903,-0.006817048
0.01576,-0.00451,-0.00887,-0.00923,-0.00912,-0.05272,-0.0911,-0.01725,-0.02234,-0.02378,-0.01366,-0.00309,-0.01243,-0.0054,-0.01707,-0.002313808
0.01346,-0.00659,-0.00743,-0.01154,-0.01102,-0.05726,-0.09596,-0.01863,-0.02121,-0.02335,-0.0156,-0.00271,-0.01246,-0.0092,-0.01791,-0.005380774
0.00916,-0.01101,-0.0129,-0.01567,-0.01529,-0.06302,-0.09577,-0.02447,-0.0255,-0.03066,-0.01903,-0.00656,-0.02044,-0.01415,-0.02304,-0.008558675
0.01639,-0.0037,-0.00638,-0.00793,-0.00985,-0.05733,-0.09054,-0.02022,-0.01373,-0.024435,-0.012385,-0.00193,-0.016835,-0.002865,-0.01907,-0.00123471
0.02021,0.00048,-0.00107,-0.00343,-0.005,-0.05433,-0.09198,-0.01584,-0.01807,-0.01917,-0.00754,0.00324,-0.01166,-0.00213,-0.01361,0.000790509
0.02144,0.00043,-0.00053,-0.0041,-0.00389,-0.05112,-0.08766,-0.00989,-0.01252,-0.01574,-0.00692,0.00559,-0.01104,-0.00032,-0.01187,0.00335408
0.0137,-0.00466,-0.01195,-0.00676,-0.00807,-0.05665,-0.091,-0.01443,-0.01635,-0.02229,-0.01248,0.00086,-0.01809,-0.00715,-0.01575,-0.001437684
0.01739,0.00008,-0.00436,-0.00195,-0.0031,-0.04985,-0.0909,-0.01204,-0.01479,-0.02067,-0.00637,0.00491,-0.01282,-0.002865,-0.01786,0.002182913
0.02012,-0.00054,-0.00252,-0.00238,-0.00292,-0.04981,-0.09144,-0.0117,-0.01373,-0.01865,-0.00134,0.00469,-0.00933,0.00037,-0.00839,0.003806134
0.01866,-0.00189,-0.00661,-0.00517,-0.00614,-0.05278,-0.09533,-0.01367,-0.01602,-0.01928,-0.01148,0.00126,-0.01032,-0.00467,-0.0109,0.001606171
0.01744,-0.00108,-0.00781,-0.00752,-0.00896,-0.05345,-0.09471,-0.01686,-0.01785,-0.02014,-0.01266,0.00013,-0.01257,-0.0039,-0.0133,-0.000752135
0.01574,-0.00648,-0.00813,-0.00923,-0.01063,-0.05573,-0.09151,-0.01908,-0.02177,-0.02527,-0.01323,-0.0031,-0.01603,-0.00681,-0.01588,-0.002652698
0.01719,-0.00445,-0.00748,-0.00452,-0.00676,-0.0529,-0.09561,-0.02022,-0.01751,-0.02065,-0.01183,-0.00031,-0.01333,-0.00312,-0.01396,0.001545886
0.01294,-0.0069,-0.01001,-0.00956,-0.01159,-0.05833,-0.09346,-0.01957,-0.02345,-0.02554,-0.01101,-0.00488,-0.01886,-0.00898,-0.01026,5.68E-06
0.01578,-0.00334,-0.00566,-0.00456,-0.00659,-0.05593,-0.09776,-0.01685,-0.01738,-0.01751,-0.00724,0.0022,-0.01131,-0.00795,-0.01512,0.005710117
0.01613,-0.00447,-0.00632,-0.00874,-0.01018,-0.05482,-0.09629,-0.01939,-0.01808,-0.02154,-0.01195,-0.00508,-0.01649,-0.00681,-0.01618,-0.002029759
0.01611,-0.00417,-0.00691,-0.00878,-0.01015,-0.05625,-0.09864,-0.01925,-0.01733,-0.02305,-0.01208,-0.00123,-0.01816,-0.00629,-0.01623,-0.002751217
0.01627,-0.00572,-0.00671,-0.00912,-0.01227,-0.05859,-0.09441,-0.01891,-0.01967,-0.02172,-0.0137,-0.00247,-0.01824,-0.00947,-0.01663,-0.002493956
0.01253,-0.01099,-0.01153,-0.01367,-0.00874,-0.0567,-0.10159,-0.02467,-0.02117,-0.02183,-0.01836,-0.00256,-0.01908,-0.01234,-0.01785,-0.007098801
0.01568,-0.00561,-0.01071,-0.01175,-0.01022,-0.06017,-0.1016,-0.01875,-0.01842,-0.02537,-0.01767,-0.00453,-0.01374,-0.01125,-0.01951,-0.004228304
0.01725,-0.00025,-0.00311,-0.0036,-0.00489,-0.0514,-0.09963,-0.01703,-0.01727,-0.02102,-0.00899,0.00023,-0.01142,-0.00425,-0.01686,0.002173641
0.01302,-0.00487,-0.00844,-0.00894,-0.01157,-0.05678,-0.10448,-0.01894,-0.01675,-0.02499,-0.01317,-0.00384,-0.01923,-0.01014,-0.01832,-0.00272817
0.01227,-0.0036,-0.00845,-0.00659,-0.01056,-0.05901,-0.10532,-0.01916,-0.01615,-0.02461,-0.01577,-0.00113,-0.01801,-0.0113,-0.01699,-0.002397993
0.01106,-0.00746,-0.01637,-0.01566,-0.01424,-0.06121,-0.1077,-0.02324,-0.02371,-0.03067,-0.01924,-0.00702,-0.02202,-0.01769,-0.02114,-0.005805623
0.01839,-0.00251,-0.005,-0.0057,-0.00697,-0.05068,-0.09933,-0.0164,-0.0165,-0.02138,-0.01017,0.00148,-0.01468,-0.00249,-0.01407,0.000957832
0.00453,-0.00956,-0.00632,-0.01971,-0.01435,-0.06193,-0.11084,-0.0281,-0.0273,-0.03139,-0.01919,-0.01128,-0.02682,-0.01617,-0.0235,-0.006822024
0.00264,-0.01201,-0.02557,-0.02082,-0.01981,-0.06948,-0.11312,-0.02925,-0.02854,-0.03305,-0.02361,-0.01231,-0.02805,-0.01987,-0.02319,-0.011841453
0.01547,-0.00709,-0.00659,-0.01219,-0.00809,-0.05551,-0.10378,-0.02022,-0.02033,-0.02394,-0.01317,-0.00239,-0.01772,-0.00753,-0.0231,-0.002885083
0.01815,-0.00241,-0.0063,-0.00612,-0.00981,-0.05448,-0.10188,-0.0187,-0.01461,-0.02073,-0.00898,-0.00125,-0.0188,-0.00559,-0.01621,0.000667187
0.01502,-0.00491,-0.00703,-0.00966,-0.01087,-0.0545,-0.10427,-0.01839,-0.01814,-0.02257,-0.01476,0.00031,-0.01711,-0.00775,-0.01837,-0.00168612
0.01866,0.0037,-0.00518,-0.00823,-0.00861,-0.05541,-0.0999,-0.01467,-0.01776,-0.01908,-0.01006,0.00086,-0.0161,-0.00463,-0.01215,0.001731109
0.01352,-0.00091,-0.01439,-0.01102,-0.01426,-0.06081,-0.10593,-0.02274,-0.02114,-0.0289,-0.013,-0.00153,-0.0205,-0.01189,-0.01868,-0.00178767
0.02534,-0.00053,-0.00632,-0.00218,-0.0045,-0.04864,-0.09822,-0.00952,-0.00968,-0.01671,-0.00778,0.00268,-0.01049,0.00042,-0.01247,0.007060157
0.02253,-0.00042,-0.00632,-0.00137,-0.00649,-0.05539,-0.10105,-0.01119,-0.01047,-0.0162,-0.0079,0.00528,-0.01219,-0.00525,-0.01125,0.005993414
0.01877,-0.00281,-0.00632,-0.00697,-0.00735,-0.05429,-0.0994,-0.01234,-0.01333,-0.0215,-0.01125,0.00727,-0.0155,-0.00513,-0.01305,0.000266611
0.01919,-0.00437,-0.00738,-0.00632,-0.00939,-0.0522,-0.1004,-0.01268,-0.01289,-0.0209,-0.01356,0.00149,-0.01452,-0.00978,-0.01691,0.002989487
0.00727,-0.01228,-0.01265,-0.01569,-0.01486,-0.06385,-0.11071,-0.02416,-0.02476,-0.02976,-0.012385,-0.00787,-0.02346,-0.01706,-0.02507,-0.007772002
0.01016,-0.01184,-0.01332,-0.0145,-0.01646,-0.06415,-0.11019,-0.02342,-0.02613,-0.03338,-0.01913,-0.00722,-0.0223,-0.01464,-0.02848,-0.007721994
0.01667,-0.00539,-0.00549,-0.01074,-0.00949,-0.05467,-0.10468,-0.01908,-0.01885,-0.02416,-0.01352,-0.0026,-0.01792,-0.00857,-0.01774,-0.00207338
0.01664,-0.00379,-0.00409,-0.00727,-0.00846,-0.05229,-0.10309,-0.01497,-0.01443,-0.02106,-0.00918,-0.00147,-0.01407,-0.00301,-0.01715,-0.000896648
0.02297,0.00347,0.00189,-0.00651,-0.00671,-0.05392,-0.09923,-0.00914,-0.01296,-0.0176,-0.00846,0.00274,-0.01031,-0.00504,-0.01348,0.002469885
0.01437,-0.01141,-0.01206,-0.01441,-0.01602,-0.06856,-0.1091,-0.02321,-0.02172,-0.02913,-0.01779,-0.01088,-0.02489,-0.01324,-0.0209,-0.006646399
0.01821,-0.0011,-0.00795,-0.01259,-0.00684,-0.0531,-0.09883,-0.01845,-0.01446,-0.02371,-0.00994,0.00079,-0.01436,-0.00653,-0.01301,0.001643383
0.0156,-0.00383,-0.00791,-0.0107,-0.01295,-0.05764,-0.10565,-0.02022,-0.01827,-0.02208,-0.01472,-0.00004,-0.02362,-0.00772,-0.01536,-0.002309396
0.01906,-0.00541,-0.00345,-0.00789,-0.00583,-0.05624,-0.10431,-0.0159,-0.01464,-0.02374,-0.01376,0.00036,-0.01389,-0.00745,-0.01694,-0.001568268
0.0174,-0.00351,-0.00382,-0.00813,-0.00826,-0.0565,-0.10483,-0.01871,-0.01778,-0.02877,-0.01223,-0.00022,-0.01464,-0.00698,-0.01985,-0.002306806
0.00523,-0.00311,-0.01725,-0.02031,-0.02143,-0.07055,-0.11725,-0.02956,-0.03139,-0.04214,-0.0236,-0.01075,-0.0284,-0.02315,-0.02485,-0.009208784
0.01185,-0.00649,-0.01623,-0.01932,-0.0198,-0.0654,-0.11484,-0.02845,-0.02615,-0.03201,-0.02248,-0.00813,-0.02805,-0.01398,-0.0234,-0.009112972
0.01192,-0.00832,-0.00888,-0.01388,-0.012,-0.05983,-0.11107,-0.02194,-0.02213,-0.02941,-0.01743,-0.0054,-0.02099,-0.01165,-0.01884,-0.007119292
0.01512,-0.00864,-0.00984,-0.00829,-0.00748,-0.05865,-0.10811,-0.0203,-0.01669,-0.02277,-0.01311,-0.00196,-0.01692,-0.00677,-0.01882,0.000139035
0.01199,-0.01189,-0.00781,-0.01324,-0.01447,-0.06195,-0.11111,-0.02477,-0.02498,-0.0313,-0.01916,-0.00297,-0.01932,-0.0123,-0.02344,-0.007984029
0.01351,-0.01018,-0.01362,-0.01033,-0.01388,-0.06288,-0.10793,-0.02326,-0.02309,-0.02751,-0.01797,-0.00459,-0.02138,-0.00982,-0.02007,-0.008123522
0.01093,-0.01328,-0.01152,-0.01435,-0.01483,-0.06246,-0.11232,-0.02406,-0.02439,-0.02858,-0.02192,-0.00842,-0.02227,-0.01394,-0.02711,-0.008411205
0.01458,-0.00954,-0.00655,-0.00803,-0.01328,-0.06324,-0.10967,-0.01998,-0.02083,-0.02565,-0.0186,-0.00566,-0.01851,-0.01029,-0.01995,-0.002718595
0.01374,-0.00665,-0.00867,-0.01047,-0.014,-0.06253,-0.11014,-0.02203,-0.02284,-0.02961,-0.01481,-0.00887,-0.02218,-0.00901,-0.02294,-0.006746675
0.01689,-0.00814,-0.00359,-0.00455,-0.01365,-0.05892,-0.11256,-0.01548,-0.02178,-0.01725,-0.01325,0.00117,-0.01378,-0.00709,-0.01953,0.001075671
0.01949,-0.00621,-0.00258,-0.00508,-0.00606,-0.06158,-0.10793,-0.01907,-0.01864,-0.022,-0.0088,0.00161,-0.01951,-0.00468,-0.01704,8.34E-05
0.0253,0.00887,-0.00144,0.00202,-0.00398,-0.05488,-0.10033,-0.01252,-0.00822,-0.01551,-0.00726,0.00626,-0.01498,-0.00352,-0.00566,0.006396838
0.02039,0.00442,-0.00261,-0.00183,-0.00639,-0.0549,-0.10177,-0.01507,-0.01669,-0.01956,-0.00856,-0.00038,-0.0149,-0.00299,-0.01167,0.00220354
0.02468,0.00568,0.00067,0.00002,0.00191,-0.05372,-0.09742,-0.01189,-0.01288,-0.01509,-0.00401,0.00692,-0.00459,-0.00293,-0.00498,0.006114729
0.01673,-0.00563,-0.00608,-0.00957,-0.01081,-0.06412,-0.10857,-0.02132,-0.01946,-0.02644,-0.01538,-0.00258,-0.01557,-0.00218,-0.02196,-0.005038681
0.02926,-0.00919,-0.00859,-0.00511,-0.00769,-0.06201,-0.10257,-0.01699,-0.01883,-0.02286,-0.00843,0.00082,-0.01805,-0.00032,-0.01504,9.63E-05
0.00305,-0.01715,-0.01451,-0.02153,-0.01934,-0.07396,-0.11902,-0.02762,-0.0305,-0.03295,-0.02275,-0.00986,-0.02548,-0.01003,-0.02705,-0.013319789
