,XGB1,HEZJ
256,8.05E-05,0.00086
257,0.001886782,0.00044
258,-0.004530164,-0.0037
259,-0.009081824,-0.00978
260,-0.007970868,-0.00915
261,0.001016872,-0.0029
262,-0.001228732,0.00179
263,0.004329686,0.00297
264,0.00408778,0.00195
265,-0.012937493,-0.02065
266,0.004139708,-0.00259
267,0.001446404,0.00058
268,0.004853975,0.00492
269,0.000358691,-0.00243
270,0.000265071,-0.00146
271,-0.003673157,0.00021
272,0.000561801,0.00156
273,0.002706697,0.00447
274,-0.006679405,-0.00679
275,0.002509258,-0.00087
276,0.002664135,-0.0015
277,-0.002855729,-0.00591
278,0.000807207,0.00089
279,0.01093528,0.00576
280,-0.000328167,-0.0012
281,-0.00342791,-0.00235
282,0.001018616,-0.00251
283,-0.001254766,-0.00331
284,0.00044637,0.00148
285,0.000478062,-0.00504
286,0.003291305,0.00046
287,0.00506533,0.00151
288,0.00399045,0.00564
289,0.006255028,0.00676
290,0.002095564,-0.00236
291,0.011468381,0.0094
292,0.005396951,0.00429
293,0.00309436,0.00214
294,0.000391954,-0.00174
295,0.000391954,-0.0038
296,0.000137844,-0.00199
297,-0.000692529,-0.00405
298,0.011247033,0.00795
299,0.012049814,0.0078
300,0.004689204,-0.00122
301,-0.003344978,-0.00046
302,0.003278549,-0.00141
303,0.001424451,-0.00205
304,4.94E-05,-0.00029
305,0.003562836,0.00136
306,0.003286421,0.00565
307,0.001145182,0.00039
308,-0.005007852,-0.00643
309,-0.005137672,-0.00551
310,-0.006100461,-0.00029
311,-0.00366098,-0.00564
312,0.002094057,-0.00045
313,-0.002121466,0.00046
314,-0.005823395,-0.00053
315,-0.003973281,-0.00465
316,0.00309436,0.00174
317,0.003433785,-0.00165
318,-0.000729285,-0.00156
319,-0.004185202,-0.00267
320,0.002850861,-0.00053
321,0.009718583,0.00556
322,-0.005018021,-0.00592
323,-0.006512838,-0.00478
324,-0.008573973,-0.00414
325,-0.009614461,-0.0106
326,-0.010419879,-0.00975
327,-0.00773569,-0.00859
328,-0.00457293,-0.00639
329,0.004945277,0.00207
330,-0.005731978,-0.00153
331,-0.005761589,-0.00279
332,-0.003085876,-0.00098
333,-0.002335961,-0.00017
334,-0.005827364,-0.00218
335,-0.003775199,-0.00161
336,0.002857735,0.00232
337,0.00489146,0.00357
338,-0.004279054,-0.00229
339,-0.005158215,-0.00272
340,-0.006240779,-0.00245
341,-0.005087055,-0.00432
342,-0.005607357,-0.00655
343,-0.006273882,-0.00542
344,-0.004314057,-0.00243
345,-0.002700333,-0.00393
346,-0.001121434,0.00216
347,-0.005363276,-0.00264
348,-0.00142284,-0.00157
349,-0.004133684,-0.00496
350,-0.004870385,-0.00072
351,-0.008108252,-0.00809
352,0.003484959,0.00543
353,-0.005416313,-0.00446
354,-0.002450135,-0.00169
355,-0.004611464,-0.00326
356,-0.001381026,-0.00011
357,0.000450643,-0.00068
358,0.005889843,0.00239
359,-0.001776739,-0.00443
360,0.00044558,-0.00006
361,0.000349586,0.00064
362,0.000785072,0.0012
363,-0.001789692,-0.00295
364,-0.00263804,-0.00218
