TRUE,fit,prediction
-0.00331,-0.000943934,
-0.00936,-0.005375531,
-0.00217,0.000617231,
0.00095,-0.001938926,
0.00184,0.003831313,
0.00343,0.009507266,
0.0019,0.002506745,
0.00108,0.001158385,
-0.00193,-0.005836052,
-0.00341,-0.002905911,
-0.00151,0.003216097,
0,0.000211485,
-0.0081,-0.007992168,
-0.00684,-0.006061351,
-0.00238,-0.003159368,
-0.00917,-0.007436852,
-0.01066,-0.010560756,
-0.01209,-0.011457015,
-0.00883,-0.004271283,
-0.00193,-0.011205459,
-0.00912,-0.008022955,
-0.01097,-0.005754302,
-0.00821,-0.00881872,
-0.00892,-0.009037038,
-0.00788,-0.004367515,
-0.00306,-0.001553065,
-0.01172,-0.011589294,
-0.00562,-0.005192702,
-0.00556,-0.002220431,
-0.00802,-0.004683709,
-0.00562,-0.002851065,
-0.00962,-0.006941933,
-0.00487,-0.003755536,
-0.01222,-0.00862443,
-0.0072,-0.007662862,
-0.00862,-0.010108486,
-0.00771,-0.009163139,
-0.00188,-0.000600634,
-0.00781,-0.007605779,
-0.0063,-0.005576176,
-0.00703,-0.003996796,
-0.00734,-0.004636287,
-0.00512,-0.006292219,
-0.01225,-0.012708707,
-0.01227,-0.010724945,
-0.01629,-0.014772495,
-0.00991,-0.009443687,
-0.01401,-0.011743952,
-0.01295,-0.010005287,
-0.01332,-0.013820104,
-0.00992,-0.011191569,
-0.01462,-0.012147661,
-0.0115,-0.011317038,
-0.01052,-0.009429392,
-0.01572,-0.015765615,
-0.01856,-0.016376818,
-0.00881,-0.010455973,
-0.01087,-0.011844357,
-0.01033,-0.007447687,
-0.0103,-0.010094509,
-0.00738,-0.006814742,
-0.00595,-0.006031333,
-0.00956,-0.009392704,
-0.01003,-0.011117202,
-0.00845,-0.008097791,
-0.01165,-0.009275753,
-0.00977,-0.00878289,
-0.0096,-0.008870234,
-0.0123,-0.012925559,
-0.00713,-0.011326998,
-0.00445,-0.005809275,
-0.01097,-0.0106567,
-0.01362,-0.013932316,
-0.00895,-0.008097791,
-0.01305,-0.012052222,
-0.01169,-0.009720241,
-0.00543,-0.005579874,
-0.00334,-0.002752626,
0.00168,-0.002594648,
-0.00272,-0.002028417,
-0.00044,-0.002154172,
-0.00386,-0.006673691,
-0.00703,-0.004340534,
-0.00829,-0.007380906,
-0.00519,-0.003616361,
-0.00575,-0.004442351,
-0.00116,0.001486689,
-0.00437,0.000612625,
-0.00414,-0.003327752,
-0.00187,-0.000681081,
-0.00087,0.000261463,
-0.00214,-0.000554444,
-0.00575,-0.001726579,
0.00343,0.001272569,
0.00514,0.003391832,
0.00314,0.003163656,
0.00274,0.002955404,
-0.00024,-0.00036993,
-0.0015,-0.001569341,
0.00156,-0.000451222,
0.00357,-0.000119438,
0.00001,0.002508252,
0.00422,0.004306846,
0.00095,-0.000274552,
0.00015,-0.000851406,
-0.00869,-0.00202915,
-0.00704,-0.003001119,
-0.003,-0.004261863,
-0.00485,-0.004035167,
0.00029,-9.89E-05,
-0.00634,-0.008712199,
-0.00061,-0.000260115,
-0.0001,0.000660985,
-0.00195,-0.000799966,
0.00271,0.001467677,
-0.00359,-0.001176659,
-0.00257,-0.001266674,
-0.00423,-0.003103085,
-0.01336,-0.011505172,
0.00259,0.001250251,
0.00517,-0.00157991,
-0.0033,-0.007319886,
-0.00407,-0.003535427,
-0.00291,-0.004397864,
-0.0036,-0.003265026,
-0.00361,-0.005612674,
0.00024,-0.001900923,
-0.00644,-0.008668455,
-0.0095,-0.010234199,
-0.00921,-0.010802666,
-0.01026,-0.009646562,
-0.01033,-0.011665972,
-0.00557,-0.004032605,
0.00385,0.001615345,
-0.00619,-0.006365184,
0.00283,-0.002730467,
-0.00989,-0.0101885,
-0.00225,-0.002415416,
-0.00139,0.001711836,
0.01438,0.01993338,
0.01108,0.00911519,
0.01168,0.011029457,
-0.00962,-0.008385061,
-0.01219,-0.010799044,
-0.00852,-0.008402015,
-0.00793,-0.006278539,
-0.00482,-0.007304978,
-0.00893,-0.006527107,
0.00111,-0.000649054,
-0.00747,-0.000742678,
0.00136,-0.006288878,
0.0052,0.002261806,
0.00764,0.001127052,
0.01286,0.011125021,
0.02241,0.010569386,
0.0095,0.008822404,
-0.0085,-0.003592118,
-0.00821,-0.00828222,
-0.00999,-0.006694307,
-0.01102,-0.008623652,
-0.00963,-0.009527727,
-0.00639,-0.005950371,
-0.00733,-0.008266889,
0.00525,0.005565147,
-0.01321,-0.010962445,
-0.00031,-0.00264768,
0.0113,0.01098078,
-0.00716,-0.009799003,
0.00381,0.004848614,
-0.01956,-0.011694646,
-0.01233,-0.014275518,
0.00614,0.02093205,
0.00159,0.013640386,
-0.0055,0.003397004,
-0.0035,-0.009052392,
-0.01899,-0.015142051,
-0.00937,-0.008552174,
-0.00971,-0.014498126,
-0.01513,-0.005093725,
-0.00172,-0.008469074,
-0.0039,-0.00065248,
0.0009,0.000693452,
0.00104,-0.000814858,
-0.01164,-0.004042213,
-0.00471,0.000423127,
-0.00191,0.003136225,
-0.01162,-0.008974256,
-0.01304,-0.012635957,
-0.0077,-0.008031372,
0.00797,-0.003179126,
-0.00321,0.005355797,
-0.00993,-0.00927379,
-0.00857,-0.00620462,
-0.01529,-0.013656569,
-0.01523,-0.003256041,
-0.01498,-0.010200274,
-0.00823,-0.000257373,
-0.00473,-0.003498598,
-0.00596,-0.003611878,
-0.00867,-0.004086218,
-0.00681,-0.008307028,
-0.0132,-0.006643657,
-0.00475,0.000504268,
-0.017,-0.013156029,
-0.00562,-0.009075228,
-0.00996,-0.005080649,
-0.0067,0.001864449,
-0.00179,-0.000101531,
0.00707,0.016158236,
-0.01055,-0.009441104,
0.00398,0.007816574,
-0.00438,-0.011215868,
-0.00691,-0.005351863,
-0.00341,0.001122928,
-0.00105,-0.00047955,
-0.01014,-0.008243367,
-0.00587,-0.01027119,
-0.00377,-0.004466209,
-0.00999,-0.013684318,
0.00032,-0.001682498,
-0.00265,-0.000430071,
0.00412,0.004860901,
-0.00499,0.002773941,
-0.01726,-0.007790287,
-0.01131,-0.010084454,
0.00553,-0.001315578,
-0.01292,-0.001127095,
-0.00286,0.004985422,
0.00101,0.001036445,
0.00621,0.005358057,
0.00169,-0.002143966,
-0.00851,-0.004816126,
0.00442,0.003342148,
-0.01192,-0.0136233,
0.00671,0.00241296,
0.00176,-0.008360128,
-0.0043,-0.006216118,
0.00598,0.002242547,
-0.0081,-0.008131579,
-0.01138,-0.006893907,
-0.01799,-0.012336177,
-0.0089,-0.013444564,
-0.0128,-0.013382976,
-0.00606,-0.00441686,
-0.01571,-0.015666042,
-0.02163,-0.009119101,
-0.00193,-0.012977304,
-0.01112,-0.009597837,
-0.00361,-0.008376318,
-0.01394,-0.014546862,
-0.01235,-0.00761329,
-0.01834,-0.014303034,
0.01091,0.010662498,
-0.00279,-0.004470351,
0.00598,0.008266168,
-0.01458,-0.012716128,
-0.00852,-0.014426745,
-0.01787,-0.015899856,
0.00117,-0.000103178,
0.00553,0.005559819,
-0.00038,-0.000334263,
0.00151,0.003494042,
-0.00013,0.003000964,
0.00811,0.003861527,
0.00939,0.006297402,
0.0028,0.006909954,
-0.00298,-0.004990726,
0.00409,-0.000814678,
-0.00606,-0.011694337,
-0.0001,-0.003190757,
0.00229,-0.002770646,
0.00007,-0.000637517,
-0.00363,-0.001845949,
0.00163,-0.001638492,
-0.0034,-0.001464706,
-0.00492,-0.005101027,
-0.00836,-0.006150257,
-0.01071,-0.008464456,
0.00285,9.43E-05,
0.00117,0.002823822,
0.00352,0.002456652,
0.00574,0.003861249,
-0.00269,-0.002920681,
-0.01571,-0.014490331,
-0.00368,-0.002793639,
0.00031,0.000980928,
0.0012,0.002636977,
-0.01363,-0.015577131,
-0.00283,-0.00320359,
-0.00082,-0.001180503,
-0.00143,-0.004822011,
-0.00012,0.000255719,
0.00332,0.003590065,
0.00161,0.000909028,
0.00301,0.005746754,
0.00009,0.004521417,
0.00019,0.000435118,
0.00285,0.004234998,
0.0042,0.00381194,
0.00255,-0.001752728,
-0.00283,-0.002579983,
-0.0023,0.001327864,
0.0027,0.001127754,
0.00522,0.006489933,
0.00998,0.010096687,
0.00327,0.004225241,
0.00115,0.005252127,
0.00501,0.00192824,
0.00347,0.002128278,
0.00224,0.00256026,
0.00626,0.004306846,
0.00131,0.002795851,
-0.00082,0.003992669,
0.00791,0.010870484,
0.00457,0.003633508,
-0.00385,0.000970648,
-0.00223,-0.000530644,
0.00204,0.001322741,
-0.00204,-0.000844837,
0.00282,0.004268522,
0.0052,0.002748951,
0.00311,0.001855114,
0.00259,0.004740453,
0.0041,0.00378998,
0.00011,-0.000743614,
0.00008,-0.001256031,
-0.00326,-0.002789635,
-0.00256,-0.002963373,
-0.00215,-0.003631081,
0.00198,0.003095409,
0.00139,0.002772677,
-0.00026,0.00033345,
0.00472,0.004565693,
0.00393,0.004133156,
0.0043,0.004861799,
0.00905,0.012178598,
0.00291,0.00299693,
0.00151,0.00092177,
0.00308,0.004327774,
-0.00008,-0.001372665,
0.0008,-0.000269574,
0.00197,0.003013595,
-0.00105,-0.001739851,
0.00567,0.001169895,
0.00995,0.004468776,
0.00588,0.006757041,
0.0039,0.000287008,
-0.00473,0.00275842,
-0.00252,-0.004324677,
-0.00345,-0.004049059,
0,-0.000588689,
0.00009,-0.002635575,
-0.0057,-0.006205833,
-0.00242,-0.002067046,
-0.0092,-0.009752225,
-0.00144,-0.001186803,
0.00036,-0.003439504,
-0.00157,-0.000925078,
-0.00246,2.80E-05,
0.00041,-0.001901057,
-0.00072,-0.001573232,
0.0004,-0.003349729,
-0.00037,-0.001992514,
-0.00499,-0.005498079,
-0.01082,-0.013078248,
-0.00758,-0.006208563,
-0.00446,-0.002925432,
-0.00373,-0.002917008,
-0.00245,-0.002386193,
-0.00017,0.001381727,
0.00489,-0.000309378,
0.00155,0.000887981,
