,fit,HEZJ
358,-0.001795371,-0.00331
359,-0.006240752,-0.00936
360,0.000354924,-0.00217
361,-0.000950527,0.00095
362,0.001424096,0.00184
363,0.006177122,0.00343
364,0.004476244,0.0019
365,0.001003994,0.00108
366,-0.006771594,-0.00193
367,-0.002828606,-0.00341
368,0.003243303,-0.00151
369,-0.001119192,0
370,-0.00978309,-0.0081
371,-0.008367026,-0.00684
372,-0.0034145,-0.00238
373,-0.007422109,-0.00917
374,-0.011111601,-0.01066
375,-0.00970748,-0.01209
376,-0.005613766,-0.00883
377,-0.008849068,-0.00193
378,-0.008679234,-0.00912
379,-0.008113951,-0.01097
380,-0.010075243,-0.00821
381,-0.010175001,-0.00892
382,-0.005536436,-0.00788
383,-0.000755164,-0.00306
384,-0.011951549,-0.01172
385,-0.002715669,-0.00562
386,-0.002523497,-0.00556
387,-0.005057174,-0.00802
388,-0.001944409,-0.00562
389,-0.008026717,-0.00962
390,-0.004844324,-0.00487
391,-0.009498577,-0.01222
392,-0.006658596,-0.0072
393,-0.009972875,-0.00862
394,-0.007006104,-0.00771
395,-0.001650775,-0.00188
396,-0.007745668,-0.00781
397,-0.006924144,-0.0063
398,-0.004918839,-0.00703
399,-0.004805435,-0.00734
400,-0.006262015,-0.00512
401,-0.012665498,-0.01225
402,-0.011094774,-0.01227
403,-0.015267435,-0.01629
404,-0.008872057,-0.00991
405,-0.011828688,-0.01401
406,-0.011909714,-0.01295
407,-0.013885402,-0.01332
408,-0.010861002,-0.00992
409,-0.012909005,-0.01462
410,-0.01134798,-0.0115
411,-0.00993536,-0.01052
412,-0.015011176,-0.01572
413,-0.018074147,-0.01856
414,-0.010973202,-0.00881
415,-0.011444403,-0.01087
416,-0.007176874,-0.01033
417,-0.009373289,-0.0103
418,-0.01020403,-0.00738
419,-0.006483186,-0.00595
420,-0.008914924,-0.00956
421,-0.008084907,-0.01003
422,-0.008862779,-0.00845
423,-0.008453169,-0.01165
424,-0.008496728,-0.00977
425,-0.009858361,-0.0096
426,-0.01229616,-0.0123
427,-0.011490832,-0.00713
428,-0.003356076,-0.00445
429,-0.009872409,-0.01097
430,-0.013668347,-0.01362
431,-0.008654424,-0.00895
432,-0.011541829,-0.01305
433,-0.009477715,-0.01169
434,-0.005337181,-0.00543
435,-0.001884901,-0.00334
436,-0.004652269,0.00168
437,-0.00050626,-0.00272
438,-0.002941995,-0.00044
439,-0.005578365,-0.00386
440,-0.003173229,-0.00703
441,-0.008636916,-0.00829
442,-0.003651712,-0.00519
443,-0.003672839,-0.00575
444,0.002348817,-0.00116
445,-0.002233505,-0.00437
446,-0.003674721,-0.00414
447,-0.001229579,-0.00187
448,0.002163606,-0.00087
449,-0.001108512,-0.00214
450,-0.001929094,-0.00575
451,0.000864802,0.00343
452,0.005501226,0.00514
453,0.002651023,0.00314
454,0.00208918,0.00274
455,-0.000645685,-0.00024
456,-0.003291081,-0.0015
457,-0.000568225,0.00156
458,9.19E-05,0.00357
459,0.001715801,0.00001
460,0.003368045,0.00422
461,0.001086593,0.00095
462,-0.001102703,0.00015
463,-0.003850478,-0.00869
464,-0.007397547,-0.00704
465,-0.003196607,-0.003
466,-0.004315744,-0.00485
467,0.001075185,0.00029
468,-0.006882017,-0.00634
469,-0.000795504,-0.00061
470,0.001594857,-0.0001
471,0.000390048,-0.00195
472,0.001537516,0.00271
473,-0.00274369,-0.00359
474,-0.002393877,-0.00257
475,-0.00285759,-0.00423
476,-0.011829002,-0.01336
477,-0.002287956,0.00259
478,-0.002083271,0.00517
479,-0.008015252,-0.0033
480,-0.005127104,-0.00407
481,-0.002934365,-0.00291
482,-0.00220529,-0.0036
483,-0.004437907,-0.00361
484,-0.000934989,0.00024
485,-0.009984816,-0.00644
486,-0.009919964,-0.0095
487,-0.010791827,-0.00921
488,-0.00781774,-0.01026
489,-0.010194886,-0.01033
490,-0.005148912,-0.00557
491,0.001884996,0.00385
492,-0.010157043,-0.00619
493,-0.003121802,0.00283
494,-0.011987362,-0.00989
495,-0.004042751,-0.00225
496,-0.00018119,-0.00139
497,0.01853002,0.01438
498,0.010550447,0.01108
499,0.010410233,0.01168
500,-0.009020574,-0.00962
501,-0.012256358,-0.01219
502,-0.00976578,-0.00852
503,-0.006968459,-0.00793
504,-0.005712613,-0.00482
505,-0.007174945,-0.00893
506,-0.001380974,0.00111
507,-0.003527717,-0.00747
508,-0.004049911,0.00136
509,0.001948181,0.0052
510,0.00106031,0.00764
511,0.009704115,0.01286
512,0.010692118,0.02241
513,0.009077942,0.0095
514,-0.004040876,-0.0085
515,-0.014569479,-0.00821
516,-0.005863574,-0.00999
517,-0.010022429,-0.01102
518,-0.01011168,-0.00963
519,-0.006251568,-0.00639
520,-0.006673736,-0.00733
521,0.004157802,0.00525
522,-0.011776377,-0.01321
523,-0.002913473,-0.00031
524,0.013467617,0.0113
525,-0.011901367,-0.00716
526,0.003199419,0.00381
527,-0.010585979,-0.01956
528,-0.013039452,-0.01233
529,0.019080572,0.00614
530,0.012276307,0.00159
531,0.001970174,-0.0055
532,-0.009076834,-0.0035
533,-0.015643425,-0.01899
534,-0.007211111,-0.00937
535,-0.009204675,-0.00971
536,-0.006730914,-0.01513
537,-0.007724326,-0.00172
538,-0.003179336,-0.0039
539,-0.000919059,0.0009
540,0.001164426,0.00104
541,-0.004252853,-0.01164
542,-0.000701854,-0.00471
543,-0.001068571,-0.00191
544,-0.008528375,-0.01162
545,-0.011505154,-0.01304
546,-0.009184607,-0.0077
547,-0.005314209,0.00797
548,0.005200812,-0.00321
549,-0.011090478,-0.00993
550,-0.004588402,-0.00857
551,-0.010840164,-0.01529
552,-0.00269991,-0.01523
553,-0.008360527,-0.01498
554,-0.004581935,-0.00823
555,-0.003102196,-0.00473
556,-0.002980557,-0.00596
557,-0.008885853,-0.00867
558,-0.009686877,-0.00681
559,-0.009296059,-0.0132
560,0.000418576,-0.00475
561,-0.009969341,-0.017
562,-0.010232829,-0.00562
563,-0.009398381,-0.00996
564,-0.001185915,-0.0067
565,0.001920378,-0.00179
566,0.021008149,0.00707
567,-0.009665978,-0.01055
568,0.004661113,0.00398
569,-0.010517463,-0.00438
570,-0.004017692,-0.00691
571,-0.001225476,-0.00341
572,0.002401518,-0.00105
573,-0.00326979,-0.01014
574,-0.003097226,-0.00587
575,-0.003560897,-0.00377
576,-0.014413107,-0.00999
577,-0.00219205,0.00032
578,0.000842551,-0.00265
579,0.002174662,0.00412
580,-0.002629545,-0.00499
581,-0.005702234,-0.01726
582,-0.011310521,-0.01131
583,0.000416184,0.00553
584,-0.004314017,-0.01292
585,0.004150969,-0.00286
586,0.000797153,0.00101
587,0.006824823,0.00621
588,-0.004322134,0.00169
589,-0.003124051,-0.00851
590,0.005763009,0.00442
591,-0.013763645,-0.01192
592,0.003012252,0.00671
593,-0.006372537,0.00176
594,-0.005439472,-0.0043
595,0.000988802,0.00598
596,-0.007136276,-0.0081
597,-0.00679952,-0.01138
598,-0.013189207,-0.01799
599,-0.012219676,-0.0089
600,-0.016889585,-0.0128
601,-0.00630691,-0.00606
602,-0.01154709,-0.01571
603,-0.005017863,-0.02163
