TRUE,fit,prediction
-0.00725,-0.005428946,
-0.0078,-0.006038537,
-0.0038,-0.003074821,
-0.00483,-0.004620418,
-0.00202,-0.002356607,
-0.00305,-0.004841594,
-0.00193,-0.008207303,
-0.00482,-0.00535241,
-0.00419,-0.001670316,
-0.00787,-0.005333903,
-0.01492,-0.014711602,
-0.01153,-0.010808933,
-0.0034,0.001106789,
-0.00313,-0.003164858,
-0.00312,-0.005265096,
0.00253,0.002236086,
-0.00179,0.003951759,
-0.01401,-0.012226408,
-0.00871,-0.005236126,
-0.00311,0.000254593,
-0.01277,-0.012811031,
-0.00781,-0.00713264,
-0.00772,-0.00738614,
-0.00283,-0.003284263,
0.00046,-0.00211416,
-0.00202,-0.004104241,
-0.00376,-0.002986841,
-0.00686,-0.009397956,
-0.01124,-0.009565559,
-0.00769,-0.005777343,
-0.00231,-0.002940509,
-0.00162,0.0012284,
-0.00606,-0.007185933,
-0.00863,-0.007341551,
-0.01355,-0.012304344,
-0.01376,-0.013975821,
-0.01178,-0.012875021,
-0.01239,-0.01222635,
-0.01318,-0.010243594,
-0.01374,-0.011970492,
-0.01034,-0.008653999,
-0.01162,-0.011743206,
-0.00929,-0.007705791,
-0.0093,-0.008372648,
-0.00122,-0.00292794,
-0.00331,-0.001795371,
-0.00936,-0.006240752,
-0.00217,0.000354924,
0.00095,-0.000950527,
0.00184,0.001424096,
0.00343,0.006177122,
0.0019,0.004476244,
0.00108,0.001003994,
-0.00193,-0.006771594,
-0.00341,-0.002828606,
-0.00151,0.003243303,
0,-0.001119192,
-0.0081,-0.00978309,
-0.00684,-0.008367026,
-0.00238,-0.0034145,
-0.00917,-0.007422109,
-0.01066,-0.011111601,
-0.01209,-0.00970748,
-0.00883,-0.005613766,
-0.00193,-0.008849068,
-0.00912,-0.008679234,
-0.01097,-0.008113951,
-0.00821,-0.010075243,
-0.00892,-0.010175001,
-0.00788,-0.005536436,
-0.00306,-0.000755164,
-0.01172,-0.011951549,
-0.00562,-0.002715669,
-0.00556,-0.002523497,
-0.00802,-0.005057174,
-0.00562,-0.001944409,
-0.00962,-0.008026717,
-0.00487,-0.004844324,
-0.01222,-0.009498577,
-0.0072,-0.006658596,
-0.00862,-0.009972875,
-0.00771,-0.007006104,
-0.00188,-0.001650775,
-0.00781,-0.007745668,
-0.0063,-0.006924144,
-0.00703,-0.004918839,
-0.00734,-0.004805435,
-0.00512,-0.006262015,
-0.01225,-0.012665498,
-0.01227,-0.011094774,
-0.01629,-0.015267435,
-0.00991,-0.008872057,
-0.01401,-0.011828688,
-0.01295,-0.011909714,
-0.01332,-0.013885402,
-0.00992,-0.010861002,
-0.01462,-0.012909005,
-0.0115,-0.01134798,
-0.01052,-0.00993536,
-0.01572,-0.015011176,
-0.01856,-0.018074147,
-0.00881,-0.010973202,
-0.01087,-0.011444403,
-0.01033,-0.007176874,
-0.0103,-0.009373289,
-0.00738,-0.01020403,
-0.00595,-0.006483186,
-0.00956,-0.008914924,
-0.01003,-0.008084907,
-0.00845,-0.008862779,
-0.01165,-0.008453169,
-0.00977,-0.008496728,
-0.0096,-0.009858361,
-0.0123,-0.01229616,
-0.00713,-0.011490832,
-0.00445,-0.003356076,
-0.01097,-0.009872409,
-0.01362,-0.013668347,
-0.00895,-0.008654424,
-0.01305,-0.011541829,
-0.01169,-0.009477715,
-0.00543,-0.005337181,
-0.00334,-0.001884901,
0.00168,-0.004652269,
-0.00272,-0.00050626,
-0.00044,-0.002941995,
-0.00386,-0.005578365,
-0.00703,-0.003173229,
-0.00829,-0.008636916,
-0.00519,-0.003651712,
-0.00575,-0.003672839,
-0.00116,0.002348817,
-0.00437,-0.002233505,
-0.00414,-0.003674721,
-0.00187,-0.001229579,
-0.00087,0.002163606,
-0.00214,-0.001108512,
-0.00575,-0.001929094,
0.00343,0.000864802,
0.00514,0.005501226,
0.00314,0.002651023,
0.00274,0.00208918,
-0.00024,-0.000645685,
-0.0015,-0.003291081,
0.00156,-0.000568225,
0.00357,9.19E-05,
0.00001,0.001715801,
0.00422,0.003368045,
0.00095,0.001086593,
0.00015,-0.001102703,
-0.00869,-0.003850478,
-0.00704,-0.007397547,
-0.003,-0.003196607,
-0.00485,-0.004315744,
0.00029,0.001075185,
-0.00634,-0.006882017,
-0.00061,-0.000795504,
-0.0001,0.001594857,
-0.00195,0.000390048,
0.00271,0.001537516,
-0.00359,-0.00274369,
-0.00257,-0.002393877,
-0.00423,-0.00285759,
-0.01336,-0.011829002,
0.00259,-0.002287956,
0.00517,-0.002083271,
-0.0033,-0.008015252,
-0.00407,-0.005127104,
-0.00291,-0.002934365,
-0.0036,-0.00220529,
-0.00361,-0.004437907,
0.00024,-0.000934989,
-0.00644,-0.009984816,
-0.0095,-0.009919964,
-0.00921,-0.010791827,
-0.01026,-0.00781774,
